sample	condition	site	timepoint	shannon	richness
SRR24887495	pre-drought	Site2	6h	3.0689144102061197	38
SRR24887496	pre-drought	Site2	0h	2.8940408194162095	31
SRR24887501	pre-drought	Site2	6h	2.9843022554207277	37
SRR24887502	drought	Site2	0h	3.08687248211153	40
SRR24887504	drought	Site2	6h	3.059387158102184	34
SRR24887505	drought	Site2	0h	1.720549426099295	8
SRR24887506	pre-drought	Site2	0h	2.7944565324632507	39
SRR24887507	drought	Site2	6h	2.852876376099188	35
SRR24887508	pre-drought	Site2	6h	2.491606685037371	20
SRR24887527	pre-drought	Site2	0h	2.7182026167834756	34
SRR24887632	drought	Site2	0h	2.8659736287233177	38
SRR24887633	pre-drought	Site1	6h	2.625702905720253	33
SRR24887634	drought	Site2	48h	1.9211222458120782	10
SRR24887635	pre-drought	Site1	48h	1.8943002422278084	8
SRR24887636	drought	Site1	48h	2.7098680029397486	33
SRR24887766	pre-drought	Site1	0h	1.6486101071590211	7
SRR24887773	pre-drought	Site2	48h	3.2940990310387424	49
SRR24887774	pre-drought	Site2	48h	3.1126107876539373	44
SRR24887777	drought	Site1	6h	2.7939125135764	38
SRR24888034	drought	Site2	48h	3.059331111769428	50
SRR24888047	drought	Site2	48h	3.062309669809083	34
SRR24888113	drought	Site2	6h	2.7887166110715023	38
SRR24888123	pre-drought	Site2	48h	3.0379774106336077	48
SRR24888217	drought	Site1	0h	2.953854231782679	39
SRR24888308	pre-drought	Site1	48h	3.2236907063848506	48
SRR24888309	drought	CTRL	0h	2.9074056914954207	35
SRR24888310	pre-drought	Site1	0h	3.2039586141915413	45
SRR24888329	pre-drought	Site1	6h	3.142713209888937	42
SRR24888330	drought	Site1	6h	1.7373833735128197	7
SRR24888351	drought	CTRL	48h	2.079910170612877	13
SRR24888352	drought	Site1	48h	2.855811994903235	38
SRR24888478	drought	CTRL	6h	2.1264657217556233	14
SRR24888482	drought	Site1	0h	2.8663965325908083	38
SRR24888489	pre-drought	Site1	6h	2.961049140302179	40
SRR24888613	drought	Site1	6h	1.5450745197006321	6
SRR24888614	pre-drought	Site1	48h	2.1531417741522514	12
SRR24888615	pre-drought	Site1	0h	2.8324102011995733	35
SRR24888635	drought	Site1	0h	2.865974168958369	36
SRR24888648	drought	Site1	48h	3.090146505501777	53
