genus	clr_diff	welch_p	q_BH
Nitrospira_D	-1.5853641768307838	0.003713554211766325	0.302693048043435
DATFRX01	1.2208463838335277	0.006440277617945426	0.302693048043435
JAIBJN01	0.8658167536912393	0.010244331168705951	0.30961544136988745
JAREAF01	-1.2163475848219836	0.013175125164676062	0.30961544136988745
JAOUEA01	0.6414913611919448	0.029544448813205282	0.5427976508285267
Bradyrhizobium	-1.2100328616742648	0.03877760154633185	0.5427976508285267
Nitrososphaera	0.512477060406489	0.04042110165744348	0.5427976508285267
Methyloceanibacter	0.497506207692763	0.05708925454044315	0.6054594545757426
DATADW01	0.4757801775284225	0.0670979236775375	0.6054594545757426
PNKE01	0.6393676562310813	0.06724242749263026	0.6054594545757426
Arthrobacter	0.4580911473521383	0.07192895128112364	0.6054594545757426
CAZWGW01	0.5359685011378901	0.08128268997449671	0.6054594545757426
GMQP-bins7	0.5273307784415433	0.08373375435621971	0.6054594545757426
Neobacillus	0.36527893152112734	0.09106251380470964	0.6114197355459076
Geopseudomonas	-0.8720262498579987	0.1093058930086647	0.6511493482453502
Peribacillus	0.5320478690591872	0.11083393161622983	0.6511493482453502
JARDZU01	0.609689123223514	0.13963367858130935	0.7416776490626359
Mycobacterium	0.3077094030491816	0.1471567557645728	0.7416776490626359
JAEUMW01	-0.8690878684399078	0.14991356736372427	0.7416776490626359
VBDM01	0.4086222006168416	0.16863383421590084	0.7500335974467259
SCUD01	0.4150261947945051	0.17399263923877648	0.7500335974467259
Streptomyces	0.5137864523095282	0.1844589234361445	0.7500335974467259
CAYXGZ01	-0.4756398666134698	0.1883451795017627	0.7500335974467259
DASTBR01	0.28675365939393926	0.19149793977363214	0.7500335974467259
DATFES01	0.5022210283366001	0.2025229085725268	0.7529800979192152
Agromyces	0.7630063701688831	0.20827109091382548	0.7529800979192152
AR31	0.4160892227553816	0.2344033216091799	0.766381198390228
DATBSL01	0.8229841504627218	0.23900249072511118	0.766381198390228
Nocardioides	0.33165433388580623	0.2442423038052089	0.766381198390228
DATBIJ01	-0.8959974243810589	0.24458974416709406	0.766381198390228
DATCJA01	-0.6176415517456939	0.25985051493171873	0.7879338194703729
Reyranella	-0.6546864900525553	0.2874235230991569	0.8225826933967304
DASSJM01	0.5439867934852409	0.29523611455528026	0.8225826933967304
Rhabdochlamydia	0.3633774565587137	0.30250901853711903	0.8225826933967304
Palsa-1315	-0.4810534613088848	0.3097250351034913	0.8225826933967304
Flavobacterium	-0.39109130816723214	0.31871569067697725	0.8225826933967304
ZC4RG19	0.5599648926944519	0.3301703471093683	0.8225826933967304
TH5896	0.48734875824766477	0.3372486412033873	0.8225826933967304
SCGC-AG-212-J23	0.2785966842940084	0.34128430896247325	0.8225826933967304
Azotobacter	-0.3149823410042365	0.380602981375695	0.8793280138436818
Ramlibacter	-0.29449182553141573	0.3835366868892654	0.8793280138436818
JAGVSZ01	-0.5549733899762666	0.40056495483472804	0.8796396743968824
JACZVU01	0.30958340751714464	0.4023883616921909	0.8796396743968824
Gp6-AA40	-0.610120065945897	0.4266264660377553	0.8973760904465833
DASTBU01	-0.44417665316667654	0.4295949369159175	0.8973760904465833
DATBJJ01	-0.5185395293969407	0.47251955289933706	0.9318736898593789
DATFEN01	-0.3557005992000376	0.4753330163770446	0.9318736898593789
Pseudonocardia	-0.21182478816521555	0.4868501208292323	0.9318736898593789
Nitrosocosmicus	0.16225330410648442	0.4874802536445452	0.9318736898593789
DP-20	-0.2864041217044371	0.4956774946060526	0.9318736898593789
Pseudolabrys	-0.28759060791640234	0.5174186004035619	0.9440485859445754
Bacillus	0.1857164298665157	0.5256890456408687	0.9440485859445754
DASRRB01	-0.35151075592312164	0.5322827133517287	0.9440485859445754
SG8-41	-0.43072866333196624	0.5655711438789099	0.9801873001519029
Rhizobium	0.20230586503472003	0.5899663737049828	0.9801873001519029
DASRDR01	-0.341152121329787	0.5957169335420333	0.9801873001519029
DATEDA01	-0.3234360180422575	0.6025584756189921	0.9801873001519029
TH1177	0.17996985688240708	0.6348705613227248	0.9801873001519029
JAJKIV01	0.15694890797905114	0.6418761577103387	0.9801873001519029
JBGPEQ01	-0.22951330587577723	0.6461055675477443	0.9801873001519029
DATJKD01	0.2568342515712966	0.6504017282660619	0.9801873001519029
Microbacterium	0.14368692466278588	0.6546207024608333	0.9801873001519029
Z2-YC6860	-0.26148174585222833	0.6739865964976964	0.9801873001519029
Metapseudomonas	-0.2933734632216107	0.6829791770646726	0.9801873001519029
CAVVWJ01	-0.2716793924572925	0.6917602745655358	0.9801873001519029
JAJVID01	0.18355083356065727	0.7185890178837228	0.9801873001519029
AWTP1-13	-0.14100142189873455	0.718918801296649	0.9801873001519029
Rubrivivax	-0.16049162165136632	0.748609690137989	0.9801873001519029
Penicillium	0.06424233123303602	0.7551291039186827	0.9801873001519029
Aquipseudomonas	-0.11489093263883077	0.7667352787372024	0.9801873001519029
TA-21	-0.12438990419199492	0.7670915289169142	0.9801873001519029
DATBVX01	-0.17857136257134965	0.7679756009663792	0.9801873001519029
SHXO01	-0.13515845601663123	0.7733624133914443	0.9801873001519029
Brocadia	-0.1261690296681719	0.775444461379405	0.9801873001519029
JBIOXB01	0.09987216847693281	0.7880002140064024	0.9801873001519029
Bacillus_A	0.0507565819587128	0.8141369425980873	0.9801873001519029
DATKFM01	-0.13081097506588701	0.8151553254928066	0.9801873001519029
DATBJG01	-0.10039824591390456	0.8155173336118241	0.9801873001519029
Cupriavidus	-0.11861423975244201	0.8237744331063865	0.9801873001519029
Sphingobacterium	0.0427858863047299	0.8455045133298871	0.9822017043591922
Ensifer	0.09798488782107317	0.8509891542865987	0.9822017043591922
JAABQT01	0.10965996601651395	0.8603130945637023	0.9822017043591922
JBEVEP01	-0.08766910002417327	0.8672632070405634	0.9822017043591922
Aeromonas	-0.03611053172298129	0.8923655664057236	0.9954001498055126
Nitrospira_C	-0.030999466895905492	0.9139521703437782	0.9954001498055126
JAKEFM01	0.050911169391661626	0.9358883496891218	0.9954001498055126
Acinetobacter	-0.01904750403528155	0.9405074581010171	0.9954001498055126
RHKX01	-0.01458718490212596	0.9527465918954339	0.9954001498055126
Saccharopolyspora_C	-0.011643588852942921	0.9619870624236359	0.9954001498055126
VGTJ01	0.013357311145796968	0.9778294373236387	0.9954001498055126
DASTFP01	-0.003934241831164975	0.9873353111471991	0.9954001498055126
Comamonas	-0.0029081745397236958	0.9905230780580255	0.9954001498055126
Stenotrophomonas	-0.001717652531895375	0.9943726344504368	0.9954001498055126
DATACQ01	-0.0034777692530357784	0.9954001498055126	0.9954001498055126
