	AMF	EMF	Fungi_other	Other
SRR24887495	0.190984	0.052647000000000006	2.785999	96.97037399999999
SRR24887496	0.196441	0.051005	2.816371	96.93621300000001
SRR24887501	0.181449	0.045523	2.726594	97.046461
SRR24887502	0.186855	0.052023999999999994	2.851874	96.909259
SRR24887504	0.191017	0.043962	2.88942	96.875597
SRR24887505	0.185398	0.045114	2.746723	97.02274700000001
SRR24887506	0.184515	0.047890999999999996	2.644982	97.122601
SRR24887507	0.174786	0.042231	2.685476	97.097521
SRR24887508	0.187231	0.047694	2.875738	96.889337
SRR24887527	0.18907	0.048313999999999996	2.896748	96.865649
SRR24887632	0.181831	0.046401	2.614102	97.157669
SRR24887633	0.18781	0.049472	2.790682	96.97205299999999
SRR24887634	0.18190800000000001	0.043681	2.674113	97.100348
SRR24887635	0.193236	0.050676	3.023627	96.73244700000001
SRR24887636	0.19408	0.049978	3.093153	96.662784
SRR24887766	0.267571	0.047913000000000004	2.667169	97.01732
SRR24887773	0.182175	0.047948	2.9194459999999998	96.850433
SRR24887774	0.190141	0.049504	3.0666990000000003	96.693682
SRR24887777	0.18763	0.050088	2.880411	96.881882
SRR24888034	0.18650999999999998	0.046031	2.700135	97.067302
SRR24888047	0.206018	0.059995	3.139905	96.594081
SRR24888113	0.267432	0.048382999999999995	2.803322	96.880855
SRR24888123	0.201728	0.053212	3.144318	96.600745
SRR24888217	0.18619799999999997	0.049174	2.820785	96.943834
SRR24888308	0.194724	0.049356	3.045601	96.710314
SRR24888309	0.1865	0.048026	2.9642049999999998	96.801248
SRR24888310	0.19720100000000002	0.051333	3.071631	96.67983100000001
SRR24888329	0.279	0.048049999999999995	2.950133	96.722833
SRR24888330	0.188308	0.045083	2.9222069999999998	96.844369
SRR24888351	0.180962	0.047254	2.7861730000000002	96.98562600000001
SRR24888352	0.194785	0.05165	2.854863	96.898707
SRR24888478	0.337007	0.052638	2.733225	96.877094
SRR24888482	0.19233699999999998	0.051728	3.101509	96.65459999999999
SRR24888489	0.214865	0.06255899999999999	3.247318	96.47524
SRR24888613	0.18543900000000002	0.046317	3.004918	96.763309
SRR24888614	0.20293	0.057065	3.293733	96.446285
SRR24888615	0.251144	0.054036	3.286553	96.408259
SRR24888635	0.190019	0.04782	2.98932	96.772847
SRR24888648	0.18421500000000002	0.045059	3.057932	96.712806
