sample	sample_name	collection_date	condition	timepoint	site	plot
SRR24888309	CTRL_191116_c	2019-11-16	drought	0h	CTRL	CTRL
SRR24888635	P11SSC1_191110_c	2019-11-10	drought	0h	Site1	P11SSC1
SRR24888482	P15SSCI_191107_c	2019-11-07	drought	0h	Site1	P15SSCI
SRR24887502	P24SSC2_191109_c	2019-11-09	drought	0h	Site2	P24SSC2
SRR24887505	P26SSC2_191112_c	2019-11-12	drought	0h	Site2	P26SSC2
SRR24887632	P34SSC2_191111_c	2019-11-11	drought	0h	Site2	P34SSC2
SRR24888217	P35SSC1_191108_c	2019-11-08	drought	0h	Site1	P35SSC1
SRR24888351	CTRL_191116_i	2019-11-16	drought	48h	CTRL	CTRL
SRR24888648	P11SSC1_191119_i	2019-11-18	drought	48h	Site1	P11SSC1
SRR24888352	P15SSC1_191107_i	2019-11-07	drought	48h	Site1	P15SSC1
SRR24888047	P24SSC2_191109_i	2019-11-09	drought	48h	Site2	P24SSC2
SRR24888034	P26SSC2_191112_i	2019-11-12	drought	48h	Site2	P26SSC2
SRR24887634	P34SSC2_191111_i	2019-11-11	drought	48h	Site2	P34SSC2
SRR24887636	P35SSC1_191108_i	2019-11-08	drought	48h	Site1	P35SSC1
SRR24888478	CTRL_191116_f	2019-11-16	drought	6h	CTRL	CTRL
SRR24888330	P11SSC1_191119_f	2019-11-19	drought	6h	Site1	P11SSC1
SRR24888613	P15SSC1_191107_f	2019-11-07	drought	6h	Site1	P15SSC1
SRR24887504	P24SSC2_191109_f	2019-11-09	drought	6h	Site2	P24SSC2
SRR24887507	P26SSC2_191112_f	2019-11-12	drought	6h	Site2	P26SSC2
SRR24888113	P34SSC2_191111_f	2019-11-11	drought	6h	Site2	P34SSC2
SRR24887777	P35SSC1_191108_f	2019-11-08	drought	6h	Site1	P35SSC1
SRR24888310	P11SSC1_190916_c	2019-09-16	pre-drought	0h	Site1	P11SSC1
SRR24888615	P15SSC1_190912_c	2019-09-12	pre-drought	0h	Site1	P15SSC1
SRR24887496	P24SSC2_190915_c	2019-09-15	pre-drought	0h	Site2	P24SSC2
SRR24887506	P26SSC2_190918_c	2019-09-18	pre-drought	0h	Site2	P26SSC2
SRR24887527	P34SSC2_190917_c	2019-09-17	pre-drought	0h	Site2	P34SSC2
SRR24887766	P35SSC1_190914_c	2019-09-14	pre-drought	0h	Site1	P35SSC1
SRR24888308	P11SSC1_190916_i	2019-09-16	pre-drought	48h	Site1	P11SSC1
SRR24888614	P15SSC1_190915_i	2019-09-15	pre-drought	48h	Site1	P15SSC1
SRR24887773	P24SSC2_190915_i	2019-09-15	pre-drought	48h	Site2	P24SSC2
SRR24887774	P26SSC2_190918_i	2019-09-18	pre-drought	48h	Site2	P26SSC2
SRR24888123	P34SSC2_190917_i	2019-09-17	pre-drought	48h	Site2	P34SSC2
SRR24887635	P35SSC1_190914_i	2019-09-14	pre-drought	48h	Site1	P35SSC1
SRR24888329	P11SSC1_190916_f	2019-09-16	pre-drought	6h	Site1	P11SSC1
SRR24888489	P15SSC1_190913_f	2019-09-13	pre-drought	6h	Site1	P15SSC1
SRR24887495	P24SSC2_190915_f	2019-09-15	pre-drought	6h	Site2	P24SSC2
SRR24887501	P26SSC2_190918_f	2019-09-18	pre-drought	6h	Site2	P26SSC2
SRR24887508	P34SSC2_190917_f	2019-09-17	pre-drought	6h	Site2	P34SSC2
SRR24887633	P35SSC1_190914_f	2019-09-14	pre-drought	6h	Site1	P35SSC1
