	AA	CBM	CE	GH	GT	PL
SRR24887221	301.9693532717647	1272.5250938250174	342.9847557674697	3884.2085608488287	5872.816048587574	85.08838325883562
SRR24887264	162.93279260664744	869.1942433805884	150.73696160378046	2613.9438650173615	4452.341090661761	36.280403738744596
SRR24887265	316.57172680862357	1702.2959820305985	419.72678935617506	3773.707982841592	4024.387335760502	125.61104788345385
SRR24887267	427.59435180432126	1523.7273776519773	412.28790604134696	5162.9599104605795	8085.5477968279265	114.59111309759844
SRR24887272	371.9574699452894	1125.7035591806066	324.29487522733973	3909.929404660189	4978.3905423929355	70.81384264856662
SRR24887387	172.59382891765583	852.0746352190542	193.55025913520552	3063.093168391524	5317.264587455754	50.62846793047935
SRR24887388	352.52841418628276	1243.397972082615	290.6020745391203	4493.148669685191	8436.747427052449	77.78716860959574
SRR24887400	425.38140247222844	2427.070666039593	569.8059687832922	5375.634853317546	6082.909466107324	172.33743402045732
SRR24887404	415.5514167197189	1355.7543933192594	412.0169031623483	5028.717978579483	7244.276350237588	97.21030799717583
SRR24888350	146.37655624222546	473.61822313738134	145.57735622914316	4175.881545279045	6666.987986056542	26.988369672548078
SRR24888359	384.3691086947151	1334.3481928510025	433.05735139979816	4325.883362177768	5408.0800595515275	116.69544409819213
SRR24888472	230.2074297183533	1143.6834246973742	256.66289982622794	3050.7192614565415	5160.789621348686	102.77277540211642
SRR24888473	417.8512261925133	1994.2688855225076	573.5438318867139	5161.431218261696	5915.546901848406	169.52203485328425
SRR24888474	456.49912142299394	1614.648673808177	469.117203531629	5374.8168884380675	6970.24475980468	125.69473124588937
SRR24888475	232.18660720620636	1261.436697229874	297.3189861072198	3438.2513138783775	5526.908848998036	112.26628101958222
SRR24888476	407.05231268974467	2028.3120414957666	609.7078354118752	5414.563782005094	5657.890332532449	162.7307523078282
SRR24888477	271.32363323047423	1176.758091156635	277.8958649599165	3350.961884451622	5402.155407210548	85.00086370078644
SRR24888479	280.261969934579	1058.2800298534507	245.67376159997974	2904.777669578304	4696.992040794734	79.46622812573376
SRR24888481	181.28078547423902	575.0227658429275	158.0169419654844	2025.1261513351888	3631.774626285931	44.627139605553246
SRR24888483	333.9605547755403	1509.4839240191795	392.3351110329556	5112.96795583641	7930.373899925262	130.67957275397004
SRR24888484	359.8497682961023	1949.6980434445086	534.6957857285201	4580.537962690137	5301.215458213464	177.76685477337256
SRR24888485	523.278949370627	2406.9534629774466	713.3263780009694	6359.053666951084	6381.906298928083	209.64201645386413
SRR24888486	256.81307769782677	1616.8115776043942	370.77906195185267	3288.086096476533	5059.6155334144405	134.88903809874233
SRR24888487	131.0467632320224	413.53251991929056	120.6961615278106	1352.9935779923455	2565.292002833003	34.12749272894808
SRR24888488	232.81931904043734	635.6058655368153	210.88460105507068	3567.969930042205	7194.211782171146	47.35823695535523
SRR24888490	503.8992588972824	1797.9833804197222	593.506464500612	5373.795247266105	5015.178061357525	157.71406367601048
SRR24888491	509.24381328397925	1833.9834532551408	602.0822675078513	5396.966863209376	5060.242829179952	157.529952231962
SRR24888492	445.720501607711	2325.0667223739747	609.9578054360221	5538.627791898463	5368.729806682302	223.86831735237678
SRR24888493	208.3893800620083	621.3234055221745	223.72070590423525	5137.565379980781	8636.750052216377	39.197248446004075
SRR24888494	362.26768685052355	992.1412018696167	351.1092150486607	3871.212078384117	5076.9935788672765	80.14597058572521
SRR24888495	815.5302845493547	5310.7187230006875	1298.3735600134382	11000.254284032377	11737.36892580221	449.5695081273362
SRR24888496	374.0139599196605	1293.0856028106866	321.984041274597	3213.640489740363	3855.775372463979	92.87525857901471
SRR24888497	409.07332014155884	1939.6095062784934	564.0139208336041	5156.070906544396	6386.089053321001	174.92252117953527
SRR24888608	282.27018121782953	870.8189808154083	195.95487377882927	4665.302715837833	8808.250878838639	60.62752363622086
SRR24888609	232.37985559307205	1158.6238654886938	242.2254741619862	2069.7893493083016	2646.979047341436	56.36035196535892
SRR24888610	164.69786769369645	799.8390600885558	202.69670629887042	3709.615266805965	9464.133296882193	61.55594451610529
SRR24888611	271.74997806574214	1382.9967625533511	342.9429220444735	3330.218063880671	3443.144802605555	123.79602627386093
SRR24888612	418.3856293707001	1231.3997476110715	395.65387304935103	5353.054215094407	8879.104894490856	95.7506635391005
SRR24888616	470.07194081898024	1769.8945386490573	589.4683665498061	5961.517040051688	6906.27069378909	150.9076295946936
SRR24888617	334.81606126945064	1355.6711763638207	372.5705516593731	5098.508699315819	9096.100505792136	123.34707333733036
SRR24888618	495.0249194583242	1953.1768015053312	539.3141635333778	5338.862001613058	5280.532811287636	157.68795416222326
SRR24888633	371.6684411310252	1279.8526318576626	375.6703800238846	3491.9243548857057	4285.820616299986	91.27678067841566
SRR24888634	379.1874576893108	1906.3229153665175	494.8987830373921	4649.672568205768	5476.72462083091	167.61455436775447
