	Ectoine	Glucosylglycerol	Glycine-betaine	Mannitol	Solute transport	Trehalose
SRR24887221	16.018786540496613	3.337754762050245	71.82263531769432	0.12181586722811114	22.487209090309314	23.815002043095728
SRR24887264	51.839593411466986	1.6524327377985244	40.111707962666834	0.9358911081336776	15.135114014349318	37.84509668515559
SRR24887265	12.567889073945356	4.036649931982449	102.95153397955237	0.08480356999963128	27.22194596988164	28.86713522787449
SRR24887267	14.205982342106866	5.159315518612252	96.05473573571453	0.2715429220322238	31.684771481338956	28.554882011599112
SRR24887272	11.856513946586729	5.1742891288096695	67.94580810288355	0.11826946580136388	25.57577197954494	65.03342250752496
SRR24887387	19.804978007794233	2.86977319969827	56.08457993978224	0.3011490394745098	22.001594531020068	48.80385904425144
SRR24887388	20.73200810179908	4.382375696315253	74.71950562217506	5.461114329254393	24.962686177857268	86.65305174906429
SRR24887400	22.918872208671427	8.616871701022866	160.48784201762768	0.31212471879513615	62.659037298123586	110.81542248365888
SRR24887404	13.746573297495006	4.664215675390901	70.70145631689661	0.11185169485349883	27.213517357856265	42.27994065462256
SRR24888350	10.696984790486027	1.4139692539148196	21.271015732805548	0.4918153926660242	7.192800117740604	22.93089268305338
SRR24888359	17.19722334078621	4.69015182021442	310.4433823856212	1.00503253290309	41.31800413046037	45.67314510637376
SRR24888472	5.829171379701194	2.5110276712558988	55.15292920794206	0.0	16.949436780977315	29.952972935695364
SRR24888473	17.792950419317386	9.179583871103954	109.33141761995215	0.08579050346826127	43.0496746403735	81.08918387820054
SRR24888474	14.947262594177626	8.567333438126202	100.41805954191419	0.14177620346780948	36.82130541492538	86.64551406218413
SRR24888475	9.739616057244083	2.4609736504385475	67.44736258913782	0.10427854451010796	17.623074022208243	24.317756579757173
SRR24888476	17.72361303438656	6.4364699966982775	153.0449532548257	0.20211137670791693	39.458359544976396	50.72995555368715
SRR24888477	7.886678075330701	3.286115864721125	67.25583803129236	0.8762975639256334	20.702529947743088	82.81011979097235
SRR24888479	7.545861734792529	4.26034298902162	68.83342295398066	0.19857530881032973	21.554447156321245	81.75887032745302
SRR24888481	8.516738778389284	1.343244035517773	48.399654769135076	3.3009507681341015	12.232094621310784	43.61256166383237
SRR24888483	21.11798493699334	5.913035782358135	99.05446408341298	2.8750098791415497	35.092904091789634	115.85993420169399
SRR24888484	20.484979743927845	5.750398515004569	110.78318771763905	0.36510466761933774	34.08512861274817	65.92747141012042
SRR24888485	26.851842572974128	7.0565221712761215	152.18617619277342	0.40146515635268964	54.73822997193403	86.7936786099411
SRR24888486	10.826271125673394	4.028765518435888	80.04477334571385	0.28184779347082345	22.547823477665876	32.727502606553266
SRR24888487	4.297536121423091	1.5167774546199144	26.417207334630177	0.49154824918237966	9.339416734465214	35.30720852698578
SRR24888488	7.0133845434451265	2.8089320747981756	40.863699737828235	0.3399344549118811	11.038924141085824	49.863017149442776
SRR24888490	22.95343735124329	7.669085164248931	126.47263253322798	0.16145442451050382	47.35996452308112	86.10902640560204
SRR24888491	23.49682739490456	8.780537361774579	131.81747522240403	0.10941479578535301	47.294545478218836	88.35244759667256
SRR24888492	24.969032971065232	10.235752646523636	138.26020430872455	0.31017432262192834	54.513137200803904	103.13296227179117
SRR24888493	9.93917475020146	2.285415032381653	57.56389112811288	0.7737082140875388	13.593458161353373	32.43622897520835
SRR24888494	11.973138990936926	3.0982040069331633	99.25361920218951	0.9504450539197353	27.636967217224512	52.089326331704974
SRR24888495	48.87836625523723	20.063055752344074	313.30792114266603	0.519308892579613	131.58780695145364	224.2147808888856
SRR24888496	10.278277673747692	5.252426466544412	73.67815478756611	0.535541522079038	20.92731486278087	114.31751721302544
SRR24888497	18.959506243516078	6.547038579832893	185.0569781592766	0.21524510399450608	38.636496167013846	49.811304482728616
SRR24888608	23.19986285335766	1.7881931823968706	67.12721711658514	5.006940910711238	18.799352674067972	51.74875574797205
SRR24888609	9.419233512780067	3.5855106993092853	46.41782770186885	0.6395775842011158	13.68308407412084	75.50891721356203
SRR24888610	8.587395892383004	2.360369214542887	41.881024813303725	0.29504615181786087	15.047353742710905	59.071345342902255
SRR24888611	9.4817189257031	2.79292658787127	70.42800230179846	0.16010407191618745	17.166714377680098	25.687808871886073
SRR24888612	13.08447981394043	5.372435420293422	81.55414736128213	0.21663046049570248	25.403532000796044	65.82677592929413
SRR24888616	18.680394157481647	6.04928576948292	96.19778924483087	0.3411564189116915	37.810116281334786	57.22274860623665
SRR24888617	16.91279761549451	4.401037066444733	238.6002854030382	0.4384174855462186	37.7039037569748	80.21353764397546
SRR24888618	16.865735749254302	4.639189846595675	102.3625558238053	0.21137795464104997	37.01339237319859	37.00226721769116
SRR24888633	53.491032062115124	5.304895741697368	94.32476902123301	3.746000940409106	35.08676657227908	95.8371296493485
SRR24888634	51.72888995866657	6.525261997674839	112.49850550953148	1.8305601405690866	44.145140804880356	117.75358291987267
