	Anammox	Assim. nitrate red.	DNRA	Denitrification	N-assimilation/other	N-fixation	Nitrification
SRR24887495	0.6	627.0	459.2	677.8	3662.2	4.8	31.4
SRR24887496	1.0	646.8000000000001	460.6	708.4	3680.6	2.4	36.8
SRR24887501	0.4	613.4	460.2	739.8	3603.4	3.6	39.2
SRR24887502	0.4	644.4000000000001	443.6	697.4	3742.7999999999997	5.4	31.8
SRR24887504	0.8	640.2	470.79999999999995	701.2	3635.6	2.2	34.6
SRR24887506	0.6000000000000001	621.4000000000001	464.4	757.4	3645.4	3.4	40.400000000000006
SRR24887507	0.2	629.6	465.4	731.2	3522.2	3.6	34.4
SRR24887508	0.6000000000000001	608.6	476.2	769.8	3745.7999999999997	2.8	40.8
SRR24887527	0.8	615.5999999999999	494.6	784.2	3772.0	5.8	36.0
SRR24887632	1.0	582.4	470.40000000000003	741.4	3629.0	4.2	33.8
SRR24887633	0.4	606.2	491.20000000000005	773.0	3723.2	3.0	34.2
SRR24887634	0.9594268000525765	616.9114324338067	486.4293876266563	775.2168544424818	3762.392196406179	3.357993800184018	39.81621220218193
SRR24887636	1.0	627.0	483.0	788.6	3750.6000000000004	6.2	32.8
SRR24887766	0.547083661127627	636.8053815525577	471.58611589201445	736.3746078777858	3699.9268002061413	6.017920272403896	32.27793600652999
SRR24887773	0.2	627.0	440.4	686.2	3726.8	3.8	34.8
SRR24887774	0.2	621.2	472.0	751.4	3847.7999999999997	8.600000000000001	37.0
SRR24887777	1.0	624.2	481.8	750.0	3677.4	6.0	41.8
SRR24888034	0.4	613.6	440.59999999999997	727.4000000000001	3586.0	2.0	36.8
SRR24888047	0.6000000000000001	662.0	476.79999999999995	719.8	3787.2	7.2	27.799999999999997
SRR24888113	0.6000000000000001	634.6	488.2	778.0	3769.0	3.8	38.2
SRR24888123	0.6	603.2	482.59999999999997	789.2	3898.0	5.0	33.8
SRR24888217	1.0	607.8000000000001	467.4	751.0	3611.8	4.4	36.4
SRR24888308	0.8	595.4	499.0	835.4	3957.7999999999997	17.8	36.4
SRR24888309	0.8	654.4	494.4	711.8	3792.8	2.2	29.0
SRR24888310	1.0	630.8	516.4	810.4	4033.2	17.200000000000003	36.6
SRR24888329	0.2	598.5999999999999	495.0	800.4000000000001	3900.6	11.4	32.8
SRR24888330	0.5621201824192416	620.0185612084234	503.0975632652212	771.2288902791995	3807.8021157079424	6.745442189030899	36.5378118572507
SRR24888351	0.6001609631703223	644.9729817537063	479.12850226430726	711.7909023200023	3747.2050003811023	3.0008048158516116	31.608477393636974
SRR24888352	0.6	608.8	448.4	701.2	3815.8	5.6000000000000005	36.4
SRR24888478	1.000269672703761	650.5753951265261	466.72582928357485	713.592384506863	3767.2156413369044	2.200593279948274	36.809923955498405
SRR24888482	1.2	652.8	471.2	752.2	3934.4	4.8	36.2
SRR24888489	0.6	604.4	471.8	783.2	4013.2	7.0	41.2
SRR24888613	0.5922693451455532	633.7281993057419	449.53243296547487	735.5985266707771	3838.49762588833	4.1458854160188725	36.128430053878745
SRR24888614	0.6001409130863926	641.5506360893537	487.91456233923725	739.173557951407	3969.1319521823725	5.201221246748736	34.208032045924384
SRR24888615	0.4	642.6	469.2	728.6	3981.2	7.6000000000000005	35.4
SRR24888635	1.2000000000000002	597.6	503.20000000000005	814.0	3816.2	12.0	31.4
SRR24888648	1.2	604.6	464.2	795.6	3748.2000000000003	9.6	34.8
