phylum	pre_mean	drought_mean	log2FC	MWU_p	q_BH	cliffs_delta	cliffs_mag
Nitrospirota	6.970323529411765	5.1108	-0.4476011909303557	0.0244606780827485	0.21615797173842852	-0.44272445820433437	medium
Actinomycetota	3.0500000000000003	4.898773684210526	0.683432934166889	0.039301449406987	0.21615797173842852	0.4055727554179567	medium
Desulfobacterota	1.2439235294117648	1.136636842105263	-0.1300170339565291	0.2336661202181382	0.8017635781664405	-0.23529411764705882	small
Bacillota	0.0511294117647058	0.1100736842105263	1.0913475655723532	0.2915503920605238	0.8017635781664405	0.14551083591331268	negligible
Chlamydiota	0.2956882352941177	0.3999684210526316	0.4345408991148953	0.3905262438427069	0.8591577364539551	0.17027863777089783	small
Planctomycetota	0.8547294117647057	0.6276421052631579	-0.4449157730786881	0.4928256339916552	0.860150508616309	-0.13312693498452013	negligible
Gemmatimonadota	0.6096117647058824	0.4569842105263158	-0.4149575255399014	0.5880535561321325	0.860150508616309	-0.08359133126934984	negligible
Methylomirabilota	7.119847058823529	7.894605263157893	0.1490009979024883	0.657313341451708	0.860150508616309	0.08978328173374613	negligible
Pseudomonadota	51.13121176470589	50.36075789473684	-0.0219037905924077	0.7037595070497074	0.860150508616309	-0.07739938080495357	negligible
Acidobacteriota	12.846588235294115	12.203115789473683	-0.0741297873794406	0.8488743341762556	0.9337617675938811	-0.04024767801857585	negligible
Thermoproteota	15.639435294117648	16.679194736842106	0.0928554666362746	0.9494678335445068	0.9494678335445067	0.015479876160990712	negligible
